lottoDateTh,lottoDateEn,drawNumber,drawType
25350716,19920716,7954430,1
25350716,19920716,492,2
25350716,19920716,324,3
25350716,19920716,756,4
25350716,19920716,339,5
25350716,19920716,87,6
25350801,19920801,6697778,1
25350801,19920801,712,2
25350801,19920801,935,3
25350801,19920801,593,4
25350801,19920801,575,5
25350801,19920801,86,6
25350816,19920816,6234607,1
25350816,19920816,978,2
25350816,19920816,251,3
25350816,19920816,422,4
25350816,19920816,151,5
25350816,19920816,91,6
25350901,19920901,1446615,1
25350901,19920901,060,2
25350901,19920901,307,3
25350901,19920901,125,4
25350901,19920901,056,5
25350901,19920901,68,6
25350916,19920916,6874108,1
25350916,19920916,221,2
25350916,19920916,127,3
25350916,19920916,030,4
25350916,19920916,623,5
25350916,19920916,88,6
25351001,19921001,6379578,1
25351001,19921001,752,2
25351001,19921001,765,3
25351001,19921001,654,4
25351001,19921001,300,5
25351001,19921001,71,6
25351016,19921016,3576993,1
25351016,19921016,412,2
25351016,19921016,312,3
25351016,19921016,037,4
25351016,19921016,964,5
25351016,19921016,79,6
25351101,19921101,6267821,1
25351101,19921101,879,2
25351101,19921101,263,3
25351101,19921101,789,4
25351101,19921101,046,5
25351101,19921101,35,6
25351116,19921116,3685682,1
25351116,19921116,223,2
25351116,19921116,632,3
25351116,19921116,049,4
25351116,19921116,295,5
25351116,19921116,45,6
25351201,19921201,7120927,1
25351201,19921201,019,2
25351201,19921201,406,3
25351201,19921201,153,4
25351201,19921201,063,5
25351201,19921201,65,6
25351216,19921216,4826531,1
25351216,19921216,945,2
25351216,19921216,601,3
25351216,19921216,383,4
25351216,19921216,851,5
25351216,19921216,92,6
25351230,19921230,6662150,1
25351230,19921230,510,2
25351230,19921230,563,3
25351230,19921230,810,4
25351230,19921230,795,5
25351230,19921230,23,6
25360116,19930116,5423816,1
25360116,19930116,419,2
25360116,19930116,335,3
25360116,19930116,947,4
25360116,19930116,620,5
25360116,19930116,25,6
25360201,19930201,7459337,1
25360201,19930201,171,2
25360201,19930201,767,3
25360201,19930201,507,4
25360201,19930201,986,5
25360201,19930201,21,6
25360216,19930216,7549455,1
25360216,19930216,165,2
25360216,19930216,031,3
25360216,19930216,850,4
25360216,19930216,034,5
25360216,19930216,41,6
25360301,19930301,4006281,1
25360301,19930301,449,2
25360301,19930301,968,3
25360301,19930301,065,4
25360301,19930301,492,5
25360301,19930301,19,6
25360316,19930316,7680699,1
25360316,19930316,554,2
25360316,19930316,547,3
25360316,19930316,731,4
25360316,19930316,509,5
25360316,19930316,98,6
25360401,19930401,5825558,1
25360401,19930401,859,2
25360401,19930401,255,3
25360401,19930401,060,4
25360401,19930401,217,5
25360401,19930401,89,6
25360416,19930416,5632018,1
25360416,19930416,265,2
25360416,19930416,995,3
25360416,19930416,970,4
25360416,19930416,200,5
25360416,19930416,09,6
25360502,19930502,7749508,1
25360502,19930502,532,2
25360502,19930502,916,3
25360502,19930502,661,4
25360502,19930502,783,5
25360502,19930502,99,6
25360516,19930516,1633983,1
25360516,19930516,109,2
25360516,19930516,740,3
25360516,19930516,812,4
25360516,19930516,606,5
25360516,19930516,53,6
25360601,19930601,3488477,1
25360601,19930601,813,2
25360601,19930601,645,3
25360601,19930601,011,4
25360601,19930601,815,5
25360601,19930601,61,6
25360616,19930616,2119871,1
25360616,19930616,146,2
25360616,19930616,955,3
25360616,19930616,961,4
25360616,19930616,223,5
25360616,19930616,39,6
25360701,19930701,3820203,1
25360701,19930701,729,2
25360701,19930701,189,3
25360701,19930701,206,4
25360701,19930701,213,5
25360701,19930701,29,6
25360716,19930716,5686061,1
25360716,19930716,865,2
25360716,19930716,873,3
25360716,19930716,702,4
25360716,19930716,818,5
25360716,19930716,21,6
25360801,19930801,4137744,1
25360801,19930801,273,2
25360801,19930801,778,3
25360801,19930801,446,4
25360801,19930801,905,5
25360801,19930801,06,6
25360816,19930816,4088644,1
25360816,19930816,030,2
25360816,19930816,260,3
25360816,19930816,200,4
25360816,19930816,033,5
25360816,19930816,86,6
25360901,19930901,2812096,1
25360901,19930901,738,2
25360901,19930901,227,3
25360901,19930901,181,4
25360901,19930901,218,5
25360901,19930901,00,6
25360916,19930916,4286755,1
25360916,19930916,296,2
25360916,19930916,963,3
25360916,19930916,890,4
25360916,19930916,504,5
25360916,19930916,11,6
25361001,19931001,3415973,1
25361001,19931001,489,2
25361001,19931001,401,3
25361001,19931001,928,4
25361001,19931001,682,5
25361001,19931001,26,6
25361016,19931016,7611764,1
25361016,19931016,254,2
25361016,19931016,216,3
25361016,19931016,684,4
25361016,19931016,566,5
25361016,19931016,58,6
25361101,19931101,3908940,1
25361101,19931101,701,2
25361101,19931101,103,3
25361101,19931101,895,4
25361101,19931101,626,5
25361101,19931101,94,6
25361116,19931116,7515123,1
25361116,19931116,410,2
25361116,19931116,507,3
25361116,19931116,184,4
25361116,19931116,112,5
25361116,19931116,82,6
25361201,19931201,3670638,1
25361201,19931201,294,2
25361201,19931201,139,3
25361201,19931201,959,4
25361201,19931201,608,5
25361201,19931201,98,6
25361216,19931216,4043500,1
25361216,19931216,646,2
25361216,19931216,156,3
25361216,19931216,478,4
25361216,19931216,253,5
25361216,19931216,69,6
25361230,19931230,2669189,1
25361230,19931230,874,2
25361230,19931230,902,3
25361230,19931230,069,4
25361230,19931230,037,5
25361230,19931230,72,6
25370116,19940116,4791270,1
25370116,19940116,873,2
25370116,19940116,237,3
25370116,19940116,845,4
25370116,19940116,708,5
25370116,19940116,23,6
25370201,19940201,5984685,1
25370201,19940201,173,2
25370201,19940201,746,3
25370201,19940201,268,4
25370201,19940201,396,5
25370201,19940201,05,6
25370216,19940216,7679044,1
25370216,19940216,943,2
25370216,19940216,520,3
25370216,19940216,753,4
25370216,19940216,486,5
25370216,19940216,76,6
25370301,19940301,3373731,1
25370301,19940301,082,2
25370301,19940301,631,3
25370301,19940301,008,4
25370301,19940301,820,5
25370301,19940301,41,6
25370316,19940316,1723336,1
25370316,19940316,382,2
25370316,19940316,166,3
25370316,19940316,515,4
25370316,19940316,185,5
25370316,19940316,19,6
25370401,19940401,4269815,1
25370401,19940401,675,2
25370401,19940401,035,3
25370401,19940401,704,4
25370401,19940401,868,5
25370401,19940401,29,6
25370416,19940416,7893913,1
25370416,19940416,785,2
25370416,19940416,982,3
25370416,19940416,151,4
25370416,19940416,594,5
25370416,19940416,21,6
25370502,19940502,3072877,1
